"trans_id","prop_address","prop_city","prop_zip","prop_latitude","prop_longitude","prop_census","parcel_id","sale_date","sale_price","lot_sqft","property_land_use","year_built","total_bedrooms","total_baths","airconditioning_type","prop_fireplace","prop_sqft","year","building_age"
565647370,"785 Park Ave","Manhattan",10021,40.771825,-73.962824,360610128004003,201162921,2022-04-01,1675000,NA,107,1940,2,2.5,NA,NA,1650,2022,82
565647371,"421 Hudson St","Manhattan",10014,40.729882,-74.007313,360610069001012,90513179,2022-03-30,3250000,NA,106,1920,NA,NA,NA,NA,898,2022,102
565647373,"118 Riverside Dr","Manhattan",10024,40.788266,-73.980726,360610171005000,201162902,2022-02-10,2150000,NA,107,1929,NA,NA,NA,NA,NA,2022,93
565647374,"170 E End Ave","Manhattan",10128,40.776086,-73.944432,360610144024002,90607486,2022-03-15,3420000,NA,106,2005,NA,NA,NA,NA,1749,2022,17
565647375,"333 E 53rd St","Manhattan",10022,40.756356,-73.965607,360610098005000,201162910,2022-03-28,525000,NA,107,1930,1,1,NA,NA,NA,2022,92
565647376,"2211 Broadway","Manhattan",10024,40.783747,-73.980883,360610167003003,90562158,2022-04-05,12925000,NA,106,1908,NA,NA,NA,NA,5340,2022,114
565647378,"233 E 69th St","Manhattan",10021,40.76733,-73.959918,360610126004000,90590512,2022-04-06,915000,NA,107,1957,NA,NA,NA,NA,206571,2022,65
565647379,"250 E 40th St","Manhattan",10016,40.748519,-73.973396,360610088002001,90536315,2021-09-10,920000,NA,106,1988,NA,NA,NA,NA,848,2021,33
565647382,"321 E 54th St","Manhattan",10022,40.757187,-73.965654,360610108005000,201162912,2022-02-17,333900,NA,107,1929,NA,1,NA,NA,NA,2022,93
565647383,"923 5th Ave","Manhattan",10021,40.773173,-73.966026,360610130003000,90585090,2022-03-04,5850000,14800,106,1982,NA,NA,NA,NA,1570,2022,40
565647384,"201 W 21st St","Manhattan",10011,40.743025,-73.996821,360610087004000,201162896,2022-03-14,502000,NA,107,1963,NA,1,NA,NA,NA,2022,59
565647385,"140 W End Ave","Manhattan",10023,40.775922,-73.986177,360610155006000,90560337,2022-04-04,725000,72540,107,1964,NA,NA,NA,NA,640079,2022,58
565647387,"332 W 85th St","Manhattan",10024,40.788546,-73.979756,NA,201162903,2022-03-21,775000,NA,107,1910,2,1,NA,NA,NA,2022,112
