"","trans_id","prop_address","prop_city","prop_zip","prop_latitude","prop_longitude","prop_census","parcel_id","year","month","day","sale_price","trans_id.y","year_built","total_bedrooms","total_baths","age","prop_sqft"
"1623",404520086,"116 PINEHURST AVE","NEW YORK","10033",40.851664,-73.939227,"360610273003000",157641879,2010,"08","26",329000,"976C6509-0000-0000-8CDD-000000000000",1925,1,1,85,800
"1624",404520097,"270 W END AVE","NEW YORK","10023",40.780082,-73.984068,"360610159005001",157642607,2010,"08","19",2895000,"6F6F6509-0000-0000-8CDD-000000000000",1918,4,3.5,92,3000
"1625",404520135,"201 E 17TH ST","NEW YORK","10003",40.735253,-73.985526,"360610048002000",157642626,2010,"08","26",650000,"826F6509-0000-0000-8CDD-000000000000",1973,1,1,37,650
"1626",404520146,"70 E 10TH ST","NEW YORK","10003",40.731262,-73.990698,"360610057001001",157641274,2010,"08","24",850000,"3A6A6509-0000-0000-8CDD-000000000000",1960,1,1,50,1100
"1627",404520168,"310 W 72ND ST","NEW YORK","10023",40.779792,-73.984811,"360610159002002",157642872,2010,"08","19",940000,"78706509-0000-0000-8CDD-000000000000",1925,2,1.5,85,1200
"1628",404520173,"420 E 55TH ST","NEW YORK","10022",40.756657,-73.963408,"360610106015000",158238732,2010,"08","23",525000,"0C886E09-0000-0000-8CDD-000000000000",1956,1,1,54,850
"1629",404520176,"105 W 13TH ST","NEW YORK","10011",40.736918,-73.997559,"360610071001000",157641305,2010,"08","24",780000,"596A6509-0000-0000-8CDD-000000000000",1961,2,1.5,49,900
"1630",404520188,"308 E 79TH ST","NEW YORK","10075",40.77308,-73.954816,"360610134003000",157641992,2010,"08","30",475000,"086D6509-0000-0000-8CDD-000000000000",1928,1,1,82,700
"1631",404520190,"27 BLEECKER ST","NEW YORK","10012",40.725687,-73.993366,"360610055021002",157642704,2010,"08","30",2630000,"D06F6509-0000-0000-8CDD-000000000000",1910,2,2.5,100,2200
"1632",404520191,"23 E 10TH ST","NEW YORK","10003",40.732783,-73.993564,"360610061002001",157642513,2010,"08","27",599000,"116F6509-0000-0000-8CDD-000000000000",1923,1,1,87,600
"1633",404520219,"45 E 72ND ST","NEW YORK","10021",40.771693,-73.964847,"360610130002001",157642048,2010,"08","19",1200000,"406D6509-0000-0000-8CDD-000000000000",1959,2,2,51,1400
"1634",404520222,"185 Park Row","Manhattan","10038",40.712528,-73.999851,"360610027001005",157642792,2010,"08","25",440000,"28706509-0000-0000-8CDD-000000000000",1960,2,1,50,1100
"1635",404520228,"305 E 40TH ST","NEW YORK","10016",40.74858,-73.972864,"360610088003000",157642070,2010,"08","27",725000,"566D6509-0000-0000-8CDD-000000000000",1963,1,1,47,1000
"1636",404520231,"39 5TH AVE","NEW YORK","10003",40.733727,-73.995067,"360610061001003",157642033,2010,"08","31",1100000,"316D6509-0000-0000-8CDD-000000000000",1922,1,1,88,850
